genre,platform_type,titles,avg_estimated_revenue_million_usd,avg_metacritic_score,avg_user_score,avg_launch_price_usd,pct_online_multiplayer,pct_dlc_released,pct_microtransactions
Action,Browser,330,0.0,73.17944098505518,7.2754579057810105,0.00558658111135656,0.2818181818181818,0.6060606060606061,0.19696969696969696
Action,Console,3115,964.6504077046549,73.52440297424378,7.356233213715848,59.786595525464755,0.2985553772070626,0.6375601926163724,0.24141252006420547
Action,Handheld,1256,439.66625000000005,73.7318683536243,7.387525044506302,34.84848426567168,0.2762738853503185,0.6210191082802548,0.24920382165605096
Action,Hybrid,69,1068.0388405797103,73.67412252533376,7.32646340509021,44.87649556180335,0.30434782608695654,0.6956521739130435,0.2608695652173913
Action,Mobile,420,193.21264285714284,74.08541089798955,7.423655624907636,2.364155446306326,0.2761904761904762,0.638095238095238,0.28809523809523807
Action,PC,761,351.01252299605784,73.7141040163732,7.40970334028646,32.99705555748516,0.2956636005256242,0.6268068331143233,0.23127463863337713
Action,Streaming,17,0.0,75.00120469273664,7.56074328287094,5.901832842793483,0.29411764705882354,0.6470588235294118,0.11764705882352941
Action-Adventure,Browser,109,0.0,72.03225063997897,7.302942621246079,0.0728110960939129,0.30275229357798167,0.5688073394495413,0.23853211009174313
Action-Adventure,Console,838,568.5567780429594,73.48219205090025,7.327867390229459,59.682291308103714,0.29236276849642007,0.6121718377088305,0.2398568019093079
Action-Adventure,Handheld,312,248.66407051282053,73.70726521571669,7.362739801145565,33.92976351070219,0.3076923076923077,0.6346153846153846,0.2403846153846154
Action-Adventure,Hybrid,16,642.91625,74.39127828634399,7.752880726220548,47.076806270211875,0.1875,0.5,0.25
Action-Adventure,Mobile,108,103.99842592592593,74.38492236745864,7.461004689514744,1.9912698088566378,0.3055555555555556,0.6018518518518519,0.2222222222222222
Action-Adventure,PC,185,221.32216216216216,74.29484141446201,7.482067355375838,30.747695914689473,0.24324324324324326,0.6810810810810811,0.22702702702702704
Action-Adventure,Streaming,5,0.0,82.21024876863454,8.141757370962976,6.049147760270223,0.4,0.8,0.2
Adventure,Browser,111,0.0,75.6604924378518,7.533764600299375,0.0613457336686792,0.3153153153153153,0.5945945945945946,0.26126126126126126
Adventure,Console,1018,620.5447347740668,76.36485540733901,7.651620715484398,60.21011775282521,0.3379174852652259,0.6277013752455796,0.2337917485265226
Adventure,Handheld,430,247.71623255813952,76.82730365263654,7.711788235156399,34.63481346513345,0.2930232558139535,0.6093023255813953,0.2534883720930233
Adventure,Hybrid,17,603.3776470588235,77.55646421706672,7.460349780615356,45.03583570116001,0.29411764705882354,0.47058823529411764,0.4117647058823529
Adventure,Mobile,111,91.23009009009009,75.54255129416214,7.496215470938481,1.8808313636227547,0.3153153153153153,0.5045045045045045,0.3063063063063063
Adventure,PC,235,248.40455319148936,77.22327673869673,7.726617037624836,33.570665296756424,0.37872340425531914,0.6042553191489362,0.28085106382978725
Adventure,Streaming,7,0.0,75.9851698572113,7.7164291989216744,6.595025750552009,0.2857142857142857,0.7142857142857143,0.2857142857142857
Battle Royale,Browser,55,0.0,73.5803307016934,7.421170106947847,0.39832303120144835,1.0,0.5818181818181818,0.38181818181818183
Battle Royale,Console,378,1316.5874338624337,74.56543700865356,7.477390560970135,60.275021937999355,1.0,0.6190476190476191,0.30423280423280424
Battle Royale,Handheld,160,475.10675000000003,73.95713629788901,7.374414361000215,36.78021613760451,1.0,0.61875,0.4125
Battle Royale,Hybrid,5,1156.516,77.31893922384891,7.102954025246225,44.47459143286343,1.0,0.8,1.0
Battle Royale,Mobile,41,297.4260975609756,75.69540790131019,7.6595009399244365,1.7654224969347536,1.0,0.6341463414634146,0.6585365853658537
Battle Royale,PC,107,492.9406542056075,73.84833278909377,7.394076265913801,30.839770831720816,1.0,0.5700934579439252,0.37383177570093457
Battle Royale,Streaming,4,0.0,77.77325113973859,7.8671989080138,9.90662997966572,1.0,0.5,1.0
Fighting,Browser,115,0.0,75.28584826326063,7.535963268085527,-0.07491118408534589,1.0,0.6,0.24347826086956523
Fighting,Console,1183,776.5297379543534,74.63085241277149,7.4547351497551615,59.37055091899168,1.0,0.6390532544378699,0.2485207100591716
Fighting,Handheld,466,310.8483476394849,74.50809960120041,7.428716479017422,34.69483251863548,1.0,0.6330472103004292,0.23605150214592274
Fighting,Hybrid,19,1258.3394736842106,77.39110779484695,7.606612077587596,46.1516277986319,1.0,0.8421052631578947,0.2631578947368421
Fighting,Mobile,137,138.5505109489051,75.01319891770271,7.447995278757875,2.4252744759680454,1.0,0.5912408759124088,0.22627737226277372
Fighting,PC,263,306.4490494296578,76.08569563001589,7.587618628353675,32.76739689227274,1.0,0.6653992395437263,0.2813688212927757
Fighting,Streaming,6,0.0,73.32772110052137,6.910944277939269,9.14120540936826,1.0,0.6666666666666666,0.5
Idle/Clicker,Browser,18,0.0,70.74828719520274,6.944801238784749,-0.234906505495441,0.3888888888888889,0.6666666666666666,0.2777777777777778
Idle/Clicker,Console,207,530.7458937198068,73.52898765996551,7.4045220194453965,59.21696483679208,0.33816425120772947,0.6328502415458938,0.2560386473429952
Idle/Clicker,Handheld,70,200.9587142857143,73.00454696185679,7.281801129840952,33.21733980810373,0.3,0.5857142857142857,0.21428571428571427
Idle/Clicker,Hybrid,3,263.71999999999997,72.87636593724169,6.836520253054023,63.512495990899446,1.0,1.0,0.3333333333333333
Idle/Clicker,Mobile,16,55.03625,73.68055741056837,6.901373839857253,2.3378438404740156,0.4375,0.5,0.0625
Idle/Clicker,PC,50,201.2974,73.83000696385923,7.655190276686649,30.443334924370223,0.26,0.72,0.22
Idle/Clicker,Streaming,1,0.0,,6.88096482058042,14.814525335013862,0.0,1.0,0.0
MMORPG,Browser,41,0.0,75.13694245541733,7.548219721845842,0.21565493599724628,1.0,0.4634146341463415,0.5121951219512195
MMORPG,Console,414,613.9641304347826,74.09646055555041,7.397184355466241,60.59038103054883,1.0,0.6014492753623188,0.321256038647343
MMORPG,Handheld,165,253.9452121212121,74.68618880496268,7.480184726162853,35.07395787867316,1.0,0.6363636363636364,0.37575757575757573
MMORPG,Hybrid,7,882.1028571428571,70.39100797983643,7.5139225865963,52.520410541042665,1.0,0.8571428571428571,1.0
MMORPG,Mobile,42,102.2497619047619,75.39240870463242,7.4349546504400985,2.0810438260522592,1.0,0.5714285714285714,0.7142857142857143
MMORPG,PC,89,202.93831460674156,74.30036256350081,7.224569826680572,32.7958660168582,1.0,0.6853932584269663,0.39325842696629215
Misc,Browser,84,0.0,70.71250338601041,7.002803401794138,-0.0302127491496384,0.2976190476190476,0.6190476190476191,0.2619047619047619
Misc,Console,776,473.0774484536082,68.99177193953652,6.930354414769288,60.54921068386962,0.30412371134020616,0.6391752577319587,0.27448453608247425
Misc,Handheld,357,202.50621848739496,69.05161901867679,6.9073045134145925,35.86008073933738,0.2661064425770308,0.6190476190476191,0.23249299719887956
Misc,Hybrid,9,743.5177777777777,64.57711189592074,7.253948383745357,49.02716875300522,0.5555555555555556,0.4444444444444444,0.3333333333333333
Misc,Mobile,89,72.25292134831462,69.55208404202652,6.8531437771693335,2.318497401214313,0.3146067415730337,0.6067415730337079,0.24719101123595505
Misc,PC,178,187.72005617977527,69.03178527648636,6.8988863868049854,34.37563084788687,0.3595505617977528,0.6629213483146067,0.24157303370786518
Misc,Streaming,8,0.0,67.25422327199804,7.305490247132431,10.474385860864944,0.125,0.25,0.25
Platform,Browser,160,0.0,74.15623678082908,7.494347761520468,-0.0629770034426804,0.2625,0.60625,0.24375
Platform,Console,1415,895.9365653710247,74.01303618541492,7.410173828679208,59.71353345885456,0.29328621908127206,0.665017667844523,0.25512367491166077
